tahun,kode_provinsi,provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penduduk,luas_wilayah,kepadatan_penduduk,persentase_akses_air_minum_layak,persentase_memiliki_jamban_layak,persentase_akses_sanitasi_layak,tingkat_pengangguran,rata_rata_pendapatan,persentase_penduduk_miskin,garis_kemiskinan(rupiah/kapita/bulan),indeks_pembangunan_literasi,indeks_pembangunan_manusia,rata_rata_pendidikan_akhir,jumlah_tenaga_kesehatan_gizi,jumlah_puskesmas,penerima_bpjs_non_pbi,prevalensi_ketidakcukupan_pangan,jumlah_bencana_kekeringan,prevalensi_underweight,prevalensi_overweight,prevalensi_wasting,prevalensi_stunting,label
2021,31,DKI Jakarta,3101,Kepulauan Seribu,28240,10.18,2774.066798,93.97,92.95,83.75,8.58,1938617.4,15.06,701088,82.49,72.1,SMA,9,6,98.42,2.86,0,20.4,,7.7,19.3,Tidak Prioritas
2021,31,DKI Jakarta,3171,Jakarta Selatan,2233855,154.32,14475.47304,89.23,90.47,96.51,7.33,2575959.43,3.56,842630,72.39,84.9,SMA,257,60,87.08,1.5,0,11.8,,4.8,15.7,Tidak Prioritas
2021,31,DKI Jakarta,3172,Jakarta Timur,3056300,182.7,16728.51669,91.17,92.79,96.73,8.23,2530202.31,4.28,630842,69.89,82.97,SMA,276,63,84.48,2.18,0,13.1,,8.7,13.4,Tidak Prioritas
2021,31,DKI Jakarta,3173,Jakarta Pusat,1066460,52.38,20360.06109,98.5,67.78,89.56,7.75,2593224.37,4.94,733176,79.1,81.56,SMA,313,37,86.51,1.97,0,13.2,,4.8,19.7,Tidak Prioritas
2021,31,DKI Jakarta,3174,Jakarta Barat,2440073,124.44,19608.42977,97.85,87.21,97.75,9.06,2711186.59,4.31,599514,67.86,81.76,SMA,223,53,87.32,1.78,0,13.3,,6.6,17.6,Tidak Prioritas
2021,31,DKI Jakarta,3175,Jakarta Utara,1784753,139.99,12749.14637,99.63,80.82,90.61,9.84,2849107.24,7.24,645431,69.31,80.51,SMA,153,31,82.18,2.18,0,16.7,,7,20.4,Prioritas
2021,32,Jawa Barat,3201,Bogor,5489540,2710.62,2025.197187,91.83,83.56,63.91,12.22,1585631,8.13,443787,38.19,70.6,SMP,179,107,27.65,4.06,2,12.5,,4.2,28.6,Prioritas
2021,32,Jawa Barat,3202,Sukabumi,2761480,4145.7,666.1070507,81.34,82,64.35,9.51,1420899,7.7,357636,55.6,67.07,SD,111,179,12.52,4.89,0,15.1,,3.3,24.2,Prioritas
2021,32,Jawa Barat,3203,Cianjur,2506680,3840.16,652.7540519,86.25,78.71,58.52,9.32,1132936,11.18,406829,28.13,65.56,SD,84,113,7.37,4.75,0,14.1,,2.9,33.7,Prioritas
2021,32,Jawa Barat,3204,Bandung,3666160,1767.96,2073.666825,99.07,82.97,64.51,8.32,1425126,7.15,398884,53.7,72.73,SMP,203,71,20.06,5.07,0,15.5,,3,31.1,Prioritas
