jumlah_penduduk,luas_wilayah,kepadatan_penduduk,persentase_akses_air_minum_layak,persentase_memiliki_jamban_layak,persentase_akses_sanitasi_layak,tingkat_pengangguran,rata_rata_pendapatan,persentase_penduduk_miskin,garis_kemiskinan(rupiah/kapita/bulan),indeks_pembangunan_literasi,indeks_pembangunan_manusia,rata_rata_pendidikan_akhir,jumlah_tenaga_kesehatan_gizi,jumlah_puskesmas,penerima_bpjs_non_pbi,prevalensi_ketidakcukupan_pangan,jumlah_bencana_kekeringan,prevalensi_underweight,prevalensi_wasting,label
28253,10.725,2634.312354,91.51,94.93,82.55,8.11,2132501.0,13.13,743820,82.49,75.91,2,8,6,99.29,3.63,0,18.6,10.2,0
2235606,144.942,15424.14207,99.85,90.77,94.46,5.37,4446097.0,3.1,891580,72.39,86.71,2,270,60,86.96,2.28,0,11.6,11.4,0
3079618,185.538,16598.31409,100.0,92.81,94.19,7.24,3398513.0,4.2,669713,69.89,84.26,2,290,63,88.2,3.08,0,13.4,9.3,0
1049314,47.565,22060.63282,99.92,70.24,93.09,6.42,3508236.0,4.68,784679,79.1,83.29,2,282,37,94.38,2.91,0,15.0,8.7,0
2470054,125.0,19760.432,99.13,89.96,93.96,6.39,3932710.0,4.09,657247,67.86,83.85,2,216,53,86.99,2.03,0,17.2,11.0,0
1808985,147.212,12288.29851,98.13,87.22,90.96,7.05,4746281.0,6.78,684557,69.31,81.85,2,157,31,89.16,2.62,0,16.0,9.5,0
5627020,2991.78,1880.826799,91.9,91.39,71.49,8.47,2111192.0,7.27,482174,38.19,73.02,2,183,109,29.53,5.3,18,19.7,8.5,1
2802400,4164.15,672.9824814,85.72,85.27,53.21,7.32,1853457.0,7.01,392705,55.6,69.71,0,73,60,12.9,5.98,3,17.9,6.4,1
2558140,3631.92,704.3492147,85.65,81.49,63.83,7.71,1728848.0,10.22,437327,28.13,68.18,0,55,47,8.75,7.02,1,7.0,3.4,0
3721110,1740.84,2137.537051,95.73,83.87,66.67,6.52,2013999.0,6.4,426069,53.7,74.03,1,137,63,26.61,5.19,6,15.8,6.2,1
2683670,3101.24,865.3538585,81.13,81.87,54.68,7.33,1630376.0,9.77,367681,49.21,69.22,0,89,68,8.19,5.76,1,12.7,3.1,1
1907050,2705.86,704.78517,89.03,77.0,51.33,3.89,1349553.0,10.28,378958,52.48,69.38,0,70,40,10.63,8.65,1,10.1,4.0,1
1251540,1595.94,784.2024136,94.39,88.06,71.38,3.52,1580947.0,7.42,442108,62.85,73.12,0,63,36,13.18,6.1,3,16.4,5.2,1
1201760,1192.9,1007.427278,96.57,87.16,83.03,9.49,1442750.0,12.12,402767,53.96,70.99,0,75,38,19.76,6.43,2,15.7,6.4,1
2360440,1071.95,2202.005691,98.52,67.15,89.02,7.65,2387051.0,11.2,451853,51.54,71.81,0,141,63,15.91,7.28,6,18.6,9.7,1
1340620,1330.17,1007.856139,93.38,87.11,82.67,4.12,1479836.0,11.21,520713,58.47,70.76,0,81,32,17.01,7.9,3,15.0,7.0,1
1178240,1566.2,752.2921721,95.42,90.36,72.55,6.94,1760727.0,9.36,396573,61.26,74.02,0,59,35,22.44,5.55,1,10.0,3.9,0
1894330,2076.06,912.4639943,97.77,79.66,95.9,6.46,2066665.0,12.13,532545,73.78,70.19,0,68,49,14.71,5.4,1,15.4,9.5,0
1649820,2165.55,761.8480294,99.22,93.77,89.4,7.65,1999766.0,9.52,404320,47.63,71.42,0,77,40,17.23,6.23,3,13.3,9.5,0
1037070,993.09,1044.286016,85.4,91.45,77.33,7.72,1990463.0,8.46,434187,55.55,73.43,0,62,20,30.29,5.07,1,14.1,6.5,1
2526000,1913.71,1319.949209,98.11,87.07,83.02,8.95,2324648.0,7.87,555889,46.12,73.25,2,120,51,29.65,5.93,1,14.7,6.3,0
3237420,1251.02,2587.824335,96.95,93.33,91.54,8.87,2836509.0,4.93,632811,36.4,76.13,2,144,50,36.32,4.36,3,17.9,7.7,1
1859640,1283.44,1448.949698,92.27,85.2,56.93,8.11,1832880.0,10.52,426355,53.6,70.33,0,69,33,19.46,7.48,1,13.2,5.1,1
431460,1128.18,382.4389725,82.95,90.01,86.91,1.52,1354394.0,8.98,447242,44.85,70.57,0,43,15,14.18,6.04,0,13.1,7.7,1
1070720,111.37,9614.079195,99.61,93.0,74.36,9.39,2144760.0,6.67,661384,52.0,78.36,2,101,24,35.83,4.86,2,13.8,4.9,0
360640,48.31,7465.121093,98.74,90.37,44.76,8.53,2157734.0,7.5,644276,82.15,77.16,2,38,15,31.23,5.23,1,13.6,5.3,1
2506600,166.59,15046.5214,97.67,80.85,56.01,8.83,2739763.0,3.96,591124,75.7,83.29,2,247,71,32.28,3.64,0,11.3,5.5,0
341980,39.44,8670.892495,99.57,78.57,93.27,7.66,1950312.0,9.16,520579,87.75,77.45,2,69,21,30.46,6.85,1,20.2,10.7,0
2627210,213.04,12332.00338,98.77,97.2,98.52,7.9,3321402.0,4.1,795965,51.79,83.06,2,209,43,51.68,2.27,0,11.5,5.7,0
2145400,199.91,10731.82932,99.56,98.56,97.43,6.97,3293957.0,2.38,804984,74.44,82.53,2,124,37,50.81,1.99,1,12.8,5.8,0
590780,42.43,13923.63893,97.36,84.92,76.37,10.52,2391019.0,4.66,590197,57.78,79.69,2,51,12,43.12,2.98,1,14.1,4.0,1
741760,183.94,4032.619332,95.84,86.9,56.25,6.55,2099187.0,11.53,537497,76.45,75.47,0,75,23,16.3,5.14,0,14.0,4.6,1
207510,131.01,1583.924891,94.34,92.75,89.06,5.43,1436716.0,6.14,408710,68.56,74.45,0,38,10,20.26,5.55,0,15.7,8.2,1
2007830,2323.93,863.9804125,88.75,89.21,80.38,8.74,2485171.0,10.99,419429,45.5,72.04,0,91,38,15.1,12.29,7,14.4,7.4,0
1828570,1391.15,1314.430507,93.57,90.76,83.0,6.35,2252959.0,12.53,479027,52.57,73.96,0,145,39,24.2,10.84,4,12.3,4.1,1
1027330,805.76,1274.982625,82.82,90.64,77.19,5.61,1810299.0,14.99,439208,54.69,70.51,0,54,22,16.48,10.08,1,15.7,6.0,1
1047230,1144.9,914.6912394,87.56,87.89,46.09,6.26,1930814.0,14.9,380046,60.84,69.16,0,85,35,10.6,12.14,0,12.0,4.9,0
1397560,1334.1,1047.567649,87.34,89.22,93.68,5.11,1816060.0,16.34,451678,71.8,71.88,0,88,35,12.52,12.0,0,15.5,4.7,1
