method,iter,accuracy,n_features,len_train_no_dupe,len_val,hyperparameter
default,0,0.72,20,293,175,"{'learning_rate': 0.2, 'max_depth': 7, 'min_samples_leaf': 2, 'n_estimators': 200}"
default,1,0.8066666666666666,20,318,150,"{'learning_rate': 0.2, 'max_depth': 5, 'min_samples_leaf': 2, 'n_estimators': 100}"
default,2,0.7167630057803468,20,295,173,"{'learning_rate': 0.2, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 200}"
default,3,0.7810650887573964,20,299,169,"{'learning_rate': 0.2, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 50}"
default,4,0.7757575757575758,20,303,165,"{'learning_rate': 0.2, 'max_depth': 7, 'min_samples_leaf': 2, 'n_estimators': 100}"
fisher score,0,0.793939393939394,15,303,165,"{'learning_rate': 0.2, 'max_depth': 7, 'min_samples_leaf': 4, 'n_estimators': 200}"
fisher score,1,0.7926829268292683,15,304,164,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 100}"
fisher score,2,0.6627906976744186,15,296,172,"{'learning_rate': 0.2, 'max_depth': 5, 'min_samples_leaf': 4, 'n_estimators': 50}"
fisher score,3,0.7611111111111111,15,288,180,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'n_estimators': 100}"
fisher score,4,0.7034883720930233,15,296,172,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 4, 'n_estimators': 100}"
rfe,0,0.7349397590361446,5,302,166,"{'learning_rate': 0.2, 'max_depth': 7, 'min_samples_leaf': 4, 'n_estimators': 200}"
rfe,1,0.7142857142857143,5,300,168,"{'learning_rate': 0.2, 'max_depth': 5, 'min_samples_leaf': 2, 'n_estimators': 100}"
rfe,2,0.7575757575757576,5,303,165,"{'learning_rate': 0.2, 'max_depth': 5, 'min_samples_leaf': 2, 'n_estimators': 100}"
rfe,3,0.7528089887640449,5,290,178,"{'learning_rate': 0.1, 'max_depth': 7, 'min_samples_leaf': 1, 'n_estimators': 100}"
rfe,4,0.7878787878787878,5,303,165,"{'learning_rate': 0.2, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 100}"
sfs,0,0.7559523809523809,11,300,168,"{'learning_rate': 0.2, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 50}"
sfs,1,0.7916666666666666,11,300,168,"{'learning_rate': 0.1, 'max_depth': 7, 'min_samples_leaf': 1, 'n_estimators': 50}"
sfs,2,0.7764705882352941,11,298,170,"{'learning_rate': 0.2, 'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 50}"
sfs,3,0.7484662576687117,11,305,163,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'n_estimators': 100}"
sfs,4,0.7439024390243902,11,304,164,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 50}"
