method,iter,accuracy,n_features,len_train_no_dupe,len_val,hyperparameter
default,0,0.6666666666666666,20,292,174,"{'activation': 'relu', 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'solver': 'adam'}"
default,1,0.688622754491018,20,300,167,"{'activation': 'relu', 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'solver': 'adam'}"
default,2,0.6994219653179191,20,293,173,"{'activation': 'relu', 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'solver': 'adam'}"
default,3,0.7103825136612022,20,283,183,"{'activation': 'relu', 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'solver': 'adam'}"
default,4,0.702247191011236,20,288,178,"{'activation': 'relu', 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'solver': 'adam'}"
fisher score,0,0.7471910112359551,2,15,178,"{'activation': 'tanh', 'hidden_layer_sizes': (32,), 'learning_rate': 'constant', 'solver': 'sgd'}"
fisher score,1,0.7528089887640449,2,15,178,"{'activation': 'relu', 'hidden_layer_sizes': (32,), 'learning_rate': 'constant', 'solver': 'adam'}"
fisher score,2,0.6878612716763006,2,15,173,"{'activation': 'relu', 'hidden_layer_sizes': (32,), 'learning_rate': 'constant', 'solver': 'adam'}"
fisher score,3,0.688622754491018,2,15,167,"{'activation': 'relu', 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'solver': 'adam'}"
fisher score,4,0.7588235294117647,2,15,170,"{'activation': 'tanh', 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'solver': 'adam'}"
rfe,0,0.7430167597765364,4,83,179,"{'activation': 'relu', 'hidden_layer_sizes': (64,), 'learning_rate': 'constant', 'solver': 'sgd'}"
rfe,1,0.7329545454545454,4,95,176,"{'activation': 'relu', 'hidden_layer_sizes': (64,), 'learning_rate': 'constant', 'solver': 'adam'}"
rfe,2,0.7078651685393258,4,91,178,"{'activation': 'relu', 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'solver': 'adam'}"
rfe,3,0.7298850574712644,4,85,174,"{'activation': 'relu', 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'solver': 'adam'}"
rfe,4,0.7283236994219653,4,86,173,"{'activation': 'logistic', 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'solver': 'adam'}"
sfs,0,0.7094972067039106,7,181,179,"{'activation': 'relu', 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'solver': 'adam'}"
sfs,1,0.7028571428571428,7,193,175,"{'activation': 'relu', 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'solver': 'adam'}"
sfs,2,0.7085714285714285,7,185,175,"{'activation': 'tanh', 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'solver': 'adam'}"
sfs,3,0.6815642458100558,7,198,179,"{'activation': 'relu', 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'solver': 'adam'}"
sfs,4,0.7657142857142857,7,182,175,"{'activation': 'relu', 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'solver': 'adam'}"
