method,iter,accuracy,n_features,len_train_no_dupe,len_val,hyperparameter
default,0,0.72,20,293,175,"{'activation': 'relu', 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'solver': 'adam'}"
default,1,0.7017543859649122,20,297,171,"{'activation': 'relu', 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'solver': 'adam'}"
default,2,0.6983240223463687,20,289,179,"{'activation': 'relu', 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'solver': 'adam'}"
default,3,0.7633136094674556,20,299,169,"{'activation': 'tanh', 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'solver': 'adam'}"
default,4,0.7470588235294118,20,298,170,"{'activation': 'tanh', 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'solver': 'adam'}"
fisher score,0,0.7048192771084337,5,302,166,"{'activation': 'relu', 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'solver': 'adam'}"
fisher score,1,0.7294117647058823,5,298,170,"{'activation': 'relu', 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'solver': 'adam'}"
fisher score,2,0.7586206896551724,5,294,174,"{'activation': 'tanh', 'hidden_layer_sizes': (32,), 'learning_rate': 'constant', 'solver': 'adam'}"
fisher score,3,0.7570621468926554,5,291,177,"{'activation': 'relu', 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'solver': 'adam'}"
fisher score,4,0.7637362637362637,5,286,182,"{'activation': 'relu', 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'solver': 'adam'}"
rfe,0,0.7247191011235955,11,290,178,"{'activation': 'relu', 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'solver': 'adam'}"
rfe,1,0.8241758241758241,11,286,182,"{'activation': 'relu', 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'solver': 'adam'}"
rfe,2,0.7371428571428571,11,293,175,"{'activation': 'relu', 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'solver': 'adam'}"
rfe,3,0.7541899441340782,11,289,179,"{'activation': 'relu', 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'solver': 'adam'}"
rfe,4,0.7650602409638554,11,302,166,"{'activation': 'relu', 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'solver': 'adam'}"
sfs,0,0.727810650887574,10,299,169,"{'activation': 'relu', 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'solver': 'adam'}"
sfs,1,0.7314285714285714,10,293,175,"{'activation': 'relu', 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'solver': 'adam'}"
sfs,2,0.7440476190476191,10,300,168,"{'activation': 'relu', 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'solver': 'adam'}"
sfs,3,0.7383720930232558,10,296,172,"{'activation': 'relu', 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'solver': 'adam'}"
sfs,4,0.768361581920904,10,291,177,"{'activation': 'relu', 'hidden_layer_sizes': (64, 32), 'learning_rate': 'constant', 'solver': 'adam'}"
