method,iter,accuracy,n_features,len_train_no_dupe,len_val,hyperparameter
default,0,0.7094972067039106,20,287,179,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
default,1,0.7048192771084337,20,301,166,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}"
default,2,0.7288135593220338,20,288,177,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
default,3,0.7440476190476191,20,297,168,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
default,4,0.6851851851851852,20,305,162,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
fisher score,0,0.7575757575757576,2,15,165,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}"
fisher score,1,0.7441860465116279,2,15,172,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}"
fisher score,2,0.686046511627907,2,15,172,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}"
fisher score,3,0.7627118644067796,2,15,177,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}"
fisher score,4,0.7457627118644068,2,15,177,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50}"
rfe,0,0.7724550898203593,3,46,167,"{'max_depth': 30, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}"
rfe,1,0.7439024390243902,3,47,164,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}"
rfe,2,0.7613636363636364,3,49,176,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}"
rfe,3,0.7470588235294118,3,48,170,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}"
rfe,4,0.7485380116959064,3,47,171,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}"
sfs,0,0.7126436781609196,3,47,174,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}"
sfs,1,0.725,3,47,160,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}"
sfs,2,0.6804733727810651,3,49,169,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}"
sfs,3,0.7192982456140351,3,48,171,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}"
sfs,4,0.6374269005847953,3,48,171,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}"
