method,iter,accuracy,n_features,len_train_no_dupe,len_val,hyperparameter
default,0,0.7471910112359551,20,290,178,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}"
default,1,0.7085714285714285,20,293,175,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}"
default,2,0.7714285714285715,20,293,175,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}"
default,3,0.7530864197530864,20,306,162,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}"
default,4,0.745945945945946,20,283,185,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
fisher score,0,0.7692307692307693,19,299,169,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
fisher score,1,0.7604790419161677,19,301,167,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}"
fisher score,2,0.7175141242937854,19,291,177,"{'max_depth': 30, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}"
fisher score,3,0.7127659574468085,19,280,188,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}"
fisher score,4,0.7222222222222222,19,288,180,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
rfe,0,0.7239263803680982,8,305,163,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}"
rfe,1,0.7848837209302325,8,296,172,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}"
rfe,2,0.7796610169491526,8,291,177,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}"
rfe,3,0.7052023121387283,8,295,173,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}"
rfe,4,0.7705882352941177,8,298,170,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}"
sfs,0,0.7716049382716049,10,306,162,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}"
sfs,1,0.7076023391812866,10,297,171,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}"
sfs,2,0.7857142857142857,10,300,168,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}"
sfs,3,0.8024691358024691,10,306,162,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}"
sfs,4,0.7458563535911602,10,287,181,"{'max_depth': 30, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}"
