method,iter,accuracy,n_features,len_train_no_dupe,len_val,hyperparameter
default,0,0.7085714285714285,20,291,175,"{'learning_rate': 0.2, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 100}"
default,1,0.7109826589595376,20,295,173,"{'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 200}"
default,2,0.7309941520467836,20,296,171,"{'learning_rate': 0.2, 'max_depth': 7, 'min_child_weight': 2, 'n_estimators': 200}"
default,3,0.6896551724137931,20,293,174,"{'learning_rate': 0.2, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 100}"
default,4,0.7469879518072289,20,299,166,"{'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 100}"
fisher score,0,0.7758620689655172,2,15,174,"{'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 50}"
fisher score,1,0.7426900584795322,2,15,171,"{'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 200}"
fisher score,2,0.6666666666666666,2,15,177,"{'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 50}"
fisher score,3,0.6785714285714286,2,15,168,"{'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 50}"
fisher score,4,0.7088607594936709,2,15,158,"{'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 50}"
rfe,0,0.7166666666666667,1,4,180,"{'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 50}"
rfe,1,0.7735849056603774,1,4,159,"{'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 50}"
rfe,2,0.7443181818181818,1,4,176,"{'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 50}"
rfe,3,0.6976744186046512,1,4,172,"{'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 50}"
rfe,4,0.7225433526011561,1,4,173,"{'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 50}"
sfs,0,0.7222222222222222,7,195,162,"{'learning_rate': 0.2, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 200}"
sfs,1,0.7405405405405405,7,194,185,"{'learning_rate': 0.2, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 200}"
sfs,2,0.7759562841530054,7,188,183,"{'learning_rate': 0.2, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 200}"
sfs,3,0.7428571428571429,7,181,175,"{'learning_rate': 0.2, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100}"
sfs,4,0.7544910179640718,7,195,167,"{'learning_rate': 0.2, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 100}"
