method,iter,accuracy,n_features,len_train_no_dupe,len_val,hyperparameter
default,0,0.8047337278106509,20,299,169,"{'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 2, 'n_estimators': 50}"
default,1,0.7610062893081762,20,309,159,"{'learning_rate': 0.2, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 50}"
default,2,0.7857142857142857,20,300,168,"{'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 2, 'n_estimators': 200}"
default,3,0.7869822485207101,20,299,169,"{'learning_rate': 0.2, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100}"
default,4,0.7947368421052632,20,278,190,"{'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 50}"
fisher score,0,0.7443181818181818,18,292,176,"{'learning_rate': 0.2, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 200}"
fisher score,1,0.7425149700598802,18,301,167,"{'learning_rate': 0.2, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 200}"
fisher score,2,0.7213114754098361,18,285,183,"{'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 4, 'n_estimators': 200}"
fisher score,3,0.7771428571428571,18,293,175,"{'learning_rate': 0.2, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 200}"
fisher score,4,0.7730061349693251,18,305,163,"{'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 2, 'n_estimators': 200}"
rfe,0,0.7906976744186046,12,296,172,"{'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 2, 'n_estimators': 100}"
rfe,1,0.7532467532467533,12,314,154,"{'learning_rate': 0.2, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 50}"
rfe,2,0.7942857142857143,12,293,175,"{'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 200}"
rfe,3,0.7821229050279329,12,289,179,"{'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 200}"
rfe,4,0.7865168539325843,12,290,178,"{'learning_rate': 0.2, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 100}"
sfs,0,0.7428571428571429,10,293,175,"{'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 2, 'n_estimators': 200}"
sfs,1,0.7411764705882353,10,298,170,"{'learning_rate': 0.2, 'max_depth': 7, 'min_child_weight': 2, 'n_estimators': 50}"
sfs,2,0.791907514450867,10,295,173,"{'learning_rate': 0.2, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 200}"
sfs,3,0.8452380952380952,10,300,168,"{'learning_rate': 0.2, 'max_depth': 5, 'min_child_weight': 4, 'n_estimators': 200}"
sfs,4,0.754601226993865,10,305,163,"{'learning_rate': 0.2, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 200}"
