id,method,n_features,accuracy,selected_features,time
1,default,20,0.7307692307692307,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19],0 menit 0.2 detik
2,fisher score,1,0.7884615384615384,[18],0 menit 0.2 detik
3,fisher score,2,0.7980769230769231,[11 18],0 menit 0.2 detik
4,fisher score,3,0.7980769230769231,[11 15 18],0 menit 0.2 detik
5,fisher score,4,0.7596153846153846,[ 5 11 15 18],0 menit 0.2 detik
6,fisher score,5,0.7596153846153846,[ 5 11 12 15 18],0 menit 0.2 detik
7,fisher score,6,0.7596153846153846,[ 5  8 11 12 15 18],0 menit 0.2 detik
8,fisher score,7,0.7403846153846154,[ 2  5  8 11 12 15 18],0 menit 0.2 detik
9,fisher score,8,0.7115384615384616,[ 2  3  5  8 11 12 15 18],0 menit 0.2 detik
10,fisher score,9,0.7307692307692307,[ 2  3  5  8  9 11 12 15 18],0 menit 0.2 detik
11,fisher score,10,0.7403846153846154,[ 2  3  4  5  8  9 11 12 15 18],0 menit 0.2 detik
12,fisher score,11,0.7403846153846154,[ 2  3  4  5  7  8  9 11 12 15 18],0 menit 0.2 detik
13,fisher score,12,0.7403846153846154,[ 2  3  4  5  7  8  9 11 12 15 18 19],0 menit 0.2 detik
14,fisher score,13,0.7307692307692307,[ 1  2  3  4  5  7  8  9 11 12 15 18 19],0 menit 0.2 detik
15,fisher score,14,0.75,[ 1  2  3  4  5  7  8  9 11 12 13 15 18 19],0 menit 0.2 detik
16,fisher score,15,0.75,[ 1  2  3  4  5  7  8  9 11 12 13 15 16 18 19],0 menit 0.2 detik
17,fisher score,16,0.7115384615384616,[ 1  2  3  4  5  7  8  9 10 11 12 13 15 16 18 19],0 menit 0.2 detik
18,fisher score,17,0.7403846153846154,[ 1  2  3  4  5  7  8  9 10 11 12 13 14 15 16 18 19],0 menit 0.2 detik
19,fisher score,18,0.75,[ 0  1  2  3  4  5  7  8  9 10 11 12 13 14 15 16 18 19],0 menit 0.2 detik
20,fisher score,19,0.7307692307692307,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 18 19],0 menit 0.2 detik
21,RFE,1,0.7884615384615384,[18],0 menit 3.4 detik
22,RFE,2,0.7788461538461539,[ 5 18],0 menit 4.3 detik
23,RFE,3,0.75,[ 3  5 18],0 menit 2.8 detik
24,RFE,4,0.7307692307692307,[ 3  5 15 18],0 menit 2.6 detik
25,RFE,5,0.7307692307692307,[ 3  5  6 15 18],0 menit 2.5 detik
26,RFE,6,0.7211538461538461,[ 3  5  6 10 15 18],0 menit 2.3 detik
27,RFE,7,0.75,[ 3  5  6 10 15 18 19],0 menit 3.1 detik
28,RFE,8,0.7403846153846154,[ 3  5  6  7 10 15 18 19],0 menit 3.1 detik
29,RFE,9,0.7307692307692307,[ 1  3  5  6  7 10 15 18 19],0 menit 2.1 detik
30,RFE,10,0.7307692307692307,[ 1  3  5  6  7 10 11 15 18 19],0 menit 1.7 detik
31,RFE,11,0.7307692307692307,[ 1  3  5  6  7 10 11 14 15 18 19],0 menit 1.6 detik
32,RFE,12,0.7403846153846154,[ 1  3  5  6  7  8 10 11 14 15 18 19],0 menit 1.5 detik
33,RFE,13,0.75,[ 1  3  5  6  7  8 10 11 14 15 16 18 19],0 menit 1.3 detik
34,RFE,14,0.7403846153846154,[ 1  3  5  6  7  8  9 10 11 14 15 16 18 19],0 menit 1.1 detik
35,RFE,15,0.7403846153846154,[ 1  2  3  5  6  7  8  9 10 11 14 15 16 18 19],0 menit 1.0 detik
36,RFE,16,0.75,[ 1  2  3  5  6  7  8  9 10 11 12 14 15 16 18 19],0 menit 1.2 detik
37,RFE,17,0.7403846153846154,[ 1  2  3  5  6  7  8  9 10 11 12 13 14 15 16 18 19],0 menit 0.9 detik
38,RFE,18,0.7403846153846154,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 18 19],0 menit 0.7 detik
39,RFE,19,0.7307692307692307,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 18 19],0 menit 0.5 detik
40,SFS,1,0.7884615384615384,[18],0 menit 26.1 detik
41,SFS,2,0.7403846153846154,[ 6 18],0 menit 50.9 detik
42,SFS,3,0.7115384615384616,[ 0  6 18],1 menit 14.2 detik
43,SFS,4,0.7115384615384616,[ 0  6 17 18],1 menit 36.5 detik
44,SFS,5,0.7115384615384616,[ 0  1  6 17 18],2 menit 0.6 detik
45,SFS,6,0.7019230769230769,[ 0  1  6 10 17 18],2 menit 22.1 detik
