id,method,n_features,accuracy,selected_features,time
1,SFS,1,0.7115384615384616,[18],0 menit 29.9 detik
2,SFS,2,0.7211538461538461,[ 1 18],0 menit 58.9 detik
3,SFS,3,0.8173076923076923,[ 1  2 18],1 menit 29.6 detik
4,SFS,4,0.7596153846153846,[ 1  2 18 19],2 menit 3.0 detik
5,SFS,5,0.7884615384615384,[ 1  2  3 18 19],2 menit 33.6 detik
6,SFS,6,0.8076923076923077,[ 1  2  3 13 18 19],3 menit 7.5 detik
7,SFS,7,0.8076923076923077,[ 0  1  2  4 13 18 19],3 menit 35.4 detik
8,SFS,8,0.7980769230769231,[ 1  2  3  9 13 17 18 19],4 menit 2.4 detik
9,SFS,9,0.7980769230769231,[ 1  2  3  9 12 13 17 18 19],4 menit 27.2 detik
10,SFS,10,0.75,[ 0  1  2  3  6  9 13 15 18 19],4 menit 56.7 detik
11,SFS,11,0.7788461538461539,[ 0  1  2  4 11 12 13 15 17 18 19],5 menit 17.3 detik
12,SFS,12,0.8076923076923077,[ 0  1  2  4  9 11 12 13 15 17 18 19],5 menit 44.5 detik
13,SFS,13,0.7980769230769231,[ 0  1  2  3  4  6  9 12 13 15 17 18 19],6 menit 4.2 detik
14,SFS,14,0.7692307692307693,[ 0  1  2  3  6  9 10 11 13 14 15 17 18 19],6 menit 20.5 detik
15,SFS,15,0.7692307692307693,[ 0  1  2  3  4  5  6  9 11 12 13 15 17 18 19],6 menit 36.8 detik
16,SFS,16,0.7884615384615384,[ 0  1  2  3  4  5  6  9 11 12 13 15 16 17 18 19],6 menit 52.3 detik
17,SFS,17,0.7884615384615384,[ 0  1  2  3  6  7  9 10 11 12 13 14 15 16 17 18 19],7 menit 5.2 detik
18,SFS,18,0.8076923076923077,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 15 17 18 19],7 menit 16.4 detik
19,SFS,19,0.7788461538461539,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 17 18 19],7 menit 26.8 detik
