tahun,kode_provinsi,provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penduduk,luas_wilayah,kepadatan_penduduk,persentase_akses_air_minum_layak,persentase_memiliki_jamban_layak,persentase_akses_sanitasi_layak,tingkat_pengangguran,rata_rata_pendapatan,persentase_penduduk_miskin,garis_kemiskinan(rupiah/kapita/bulan),indeks_pembangunan_literasi,indeks_pembangunan_manusia,rata_rata_pendidikan_akhir,jumlah_tenaga_kesehatan_gizi,jumlah_puskesmas,penerima_bpjs_non_pbi,prevalensi_ketidakcukupan_pangan,jumlah_bencana_kekeringan,prevalensi_underweight,prevalensi_overweight,prevalensi_wasting,prevalensi_stunting,label
2022,31,DKI Jakarta,3101,Kepulauan Seribu,28925,10.73,2695.712954,87.66,89.27,85.66,8.47,1738765,14.11,743820,82.49,72.79,SMA,8,6,98.88,3.91,0,16.8,5.3,8.9,20.5,Prioritas
2022,31,DKI Jakarta,3171,Jakarta Selatan,2244623,144.94,15486.56686,98.95,89.98,95.45,5.63,3482955,3.52,891580,72.39,85.21,SMA,327,60,85.43,2.51,0,8.5,7,6.8,11.9,Tidak Prioritas
2022,31,DKI Jakarta,3172,Jakarta Timur,3083883,185.54,16621.12213,98.81,91.35,94.32,8.39,3168436,4.3,669713,69.89,83.45,SMA,304,63,84.79,3.71,0,11.7,6.1,8,14.4,Tidak Prioritas
2022,31,DKI Jakarta,3173,Jakarta Pusat,1079995,47.56,22708.05299,98.83,75.25,92.35,5.88,3557990,4.9,784679,79.1,82.11,SMA,376,37,89.87,3.82,0,11.6,4.3,8.8,14,Tidak Prioritas
2022,31,DKI Jakarta,3174,Jakarta Barat,2448975,125,19591.8,99.31,88.46,91.65,7.1,4203279,4.22,657247,67.86,82.51,SMA,266,53,86.13,2.8,0,12.7,7.1,7.8,15.2,Tidak Prioritas
2022,31,DKI Jakarta,3175,Jakarta Utara,1793550,147.46,12162.95945,98,85.38,88.92,8.04,7211579,7.24,684557,69.31,80.81,SMA,147,31,85.38,4.78,0,14,5.3,9.4,18.5,Tidak Prioritas
2022,32,Jawa Barat,3201,Bogor,5566840,2991.78,1860.711683,92.28,85.77,73.47,10.64,2030305,7.73,482174,38.19,71.2,SMA,273,109,29.03,7.03,1,16.6,4.8,7.2,24.9,Prioritas
2022,32,Jawa Barat,3202,Sukabumi,2806660,4164.15,674.0054993,85.7,83.71,63.32,7.77,1890323,7.34,392705,55.6,67.64,SD,123,60,9.17,7.42,0,16.2,4.1,5.8,27.5,Prioritas
2022,32,Jawa Barat,3203,Cianjur,2542790,3631.92,700.1228001,80.79,78.96,61.76,8.41,1413799,10.55,437327,28.13,65.94,SD,79,47,7.74,9.54,0,10.8,1.6,4.2,13.6,Tidak Prioritas
2022,32,Jawa Barat,3204,Bandung,3718660,1740.84,2136.129685,93.79,88.55,70.85,6.98,2046094,6.8,426069,53.7,73.16,SMP,215,63,22.46,8.3,0,14,3,2.9,25,Prioritas
2022,32,Jawa Barat,3205,Garut,2627220,3101.24,847.151462,78.15,77.05,51.9,7.6,1577196,10.42,367681,49.21,67.41,SD,91,68,7.96,7.74,0,13.1,1.7,3.8,23.6,Prioritas
2022,32,Jawa Barat,3206,Tasikmalaya,1906290,2705.86,704.5042981,89.35,76.59,54.39,4.17,1258220,10.73,378958,52.48,66.84,SD,68,40,7.85,10.45,0,13.3,3.3,2.4,27.2,Prioritas
2022,32,Jawa Barat,3207,Ciamis,1247770,1595.94,781.8401694,93.8,88.12,75.5,3.75,1379048,7.72,442108,62.85,71.45,SD,73,36,12.68,6.74,0,14.1,2.8,7.1,18.6,Tidak Prioritas
2022,32,Jawa Barat,3208,Kuningan,1196020,1192.9,1002.615475,95.51,91.41,69.29,9.81,1585507,12.76,402767,53.96,70.16,SD,78,38,16.52,6.63,0,13.4,2.6,5.5,19.4,Tidak Prioritas
2022,32,Jawa Barat,3209,Cirebon,2315420,1071.95,2160.007463,94.99,77.99,86.76,8.11,1835970,12.01,451853,51.54,70.06,SD,153,63,16.58,9.04,0,19.7,2.9,9.3,18.6,Tidak Prioritas
2022,32,Jawa Barat,3210,Majalengka,1335460,1330.17,1003.976935,95.7,90.34,81.26,4.16,1518006,11.94,520713,58.47,68.56,SD,82,32,14.67,9.88,0,16.1,2.5,7.7,24.3,Prioritas
