features,n_features,mode,accuracy,parameter,id_ref,time
default,20,bootstrapping iter-0,0.7692307692307693,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 4, 'n_estimators': 50}",1,2 menit 31.5 detik
default,20,bootstrapping iter-1,0.7019230769230769,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'n_estimators': 100}",1,2 menit 24.9 detik
default,20,bootstrapping iter-2,0.6634615384615384,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 4, 'n_estimators': 100}",1,2 menit 25.7 detik
default,20,bootstrapping iter-3,0.6826923076923077,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 50}",1,2 menit 24.8 detik
default,20,bootstrapping iter-4,0.7884615384615384,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 4, 'n_estimators': 100}",1,2 menit 24.3 detik
default,20,bootstrapping iter-5,0.7115384615384616,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 4, 'n_estimators': 200}",1,2 menit 32.3 detik
default,20,bootstrapping iter-6,0.7019230769230769,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 50}",1,2 menit 23.8 detik
default,20,bootstrapping iter-7,0.7019230769230769,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 4, 'n_estimators': 200}",1,2 menit 59.6 detik
default,20,bootstrapping iter-8,0.7788461538461539,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 200}",1,3 menit 22.9 detik
default,20,bootstrapping iter-9,0.7596153846153846,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 50}",1,2 menit 51.6 detik
default,20,bootstrapping iter-10,0.6923076923076923,"{'learning_rate': 0.2, 'max_depth': 7, 'min_samples_leaf': 4, 'n_estimators': 200}",1,2 menit 45.6 detik
default,20,bootstrapping iter-11,0.7019230769230769,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 200}",1,2 menit 26.1 detik
default,20,bootstrapping iter-12,0.75,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 200}",1,2 menit 27.4 detik
