features,n_features,mode,accuracy,parameter,id_ref,time
SFS,3,bootstrapping iter-0,0.7788461538461539,"{'learning_rate': 0.2, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100}",19,1 menit 56.6 detik
SFS,3,bootstrapping iter-1,0.7403846153846154,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'n_estimators': 100}",19,1 menit 58.8 detik
SFS,3,bootstrapping iter-2,0.6923076923076923,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'n_estimators': 200}",19,1 menit 53.3 detik
SFS,3,bootstrapping iter-3,0.7403846153846154,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100}",19,1 menit 57.2 detik
SFS,3,bootstrapping iter-4,0.7115384615384616,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 100}",19,1 menit 53.4 detik
SFS,3,bootstrapping iter-5,0.7403846153846154,"{'learning_rate': 0.2, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 50}",19,1 menit 57.2 detik
SFS,3,bootstrapping iter-6,0.6634615384615384,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'n_estimators': 50}",19,1 menit 51.2 detik
SFS,3,bootstrapping iter-7,0.7788461538461539,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100}",19,1 menit 55.3 detik
SFS,3,bootstrapping iter-8,0.7692307692307693,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'n_estimators': 100}",19,1 menit 55.5 detik
SFS,3,bootstrapping iter-9,0.7596153846153846,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100}",19,1 menit 58.5 detik
SFS,3,bootstrapping iter-10,0.7403846153846154,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 4, 'n_estimators': 50}",19,1 menit 55.0 detik
SFS,3,bootstrapping iter-11,0.7403846153846154,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 50}",19,1 menit 58.2 detik
SFS,3,bootstrapping iter-12,0.7788461538461539,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 100}",19,1 menit 52.2 detik
SFS,3,bootstrapping iter-13,0.7019230769230769,"{'learning_rate': 0.2, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100}",19,1 menit 57.1 detik
SFS,3,bootstrapping iter-14,0.6923076923076923,"{'learning_rate': 0.2, 'max_depth': 3, 'min_samples_leaf': 4, 'n_estimators': 100}",19,1 menit 54.0 detik
SFS,3,bootstrapping iter-15,0.6538461538461539,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'n_estimators': 100}",19,1 menit 57.2 detik
SFS,3,bootstrapping iter-16,0.7788461538461539,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'n_estimators': 200}",19,1 menit 51.7 detik
SFS,3,bootstrapping iter-17,0.7307692307692307,"{'learning_rate': 0.2, 'max_depth': 3, 'min_samples_leaf': 4, 'n_estimators': 50}",19,1 menit 54.2 detik
SFS,3,bootstrapping iter-18,0.7596153846153846,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'n_estimators': 200}",19,1 menit 50.9 detik
SFS,3,bootstrapping iter-19,0.7788461538461539,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'n_estimators': 200}",19,1 menit 55.6 detik
