id,method,n_features,accuracy,selected_features,time
1,default,20,0.8173076923076923,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19],0 menit 0.5 detik
2,fisher score,1,0.7115384615384616,[18],0 menit 0.1 detik
3,fisher score,2,0.7884615384615384,[11 18],0 menit 0.2 detik
4,fisher score,3,0.7403846153846154,[ 5 11 18],0 menit 0.2 detik
5,fisher score,4,0.6826923076923077,[ 5 11 15 18],0 menit 0.2 detik
6,fisher score,5,0.75,[ 5 11 12 15 18],0 menit 0.2 detik
7,fisher score,6,0.7115384615384616,[ 2  5 11 12 15 18],0 menit 0.2 detik
8,fisher score,7,0.7403846153846154,[ 2  5  8 11 12 15 18],0 menit 0.2 detik
9,fisher score,8,0.7596153846153846,[ 2  5  8  9 11 12 15 18],0 menit 0.2 detik
10,fisher score,9,0.7403846153846154,[ 2  5  7  8  9 11 12 15 18],0 menit 0.3 detik
11,fisher score,10,0.7692307692307693,[ 2  3  5  7  8  9 11 12 15 18],0 menit 0.3 detik
12,fisher score,11,0.7788461538461539,[ 2  3  4  5  7  8  9 11 12 15 18],0 menit 0.3 detik
13,fisher score,12,0.7884615384615384,[ 2  3  4  5  7  8  9 11 12 15 18 19],0 menit 0.3 detik
14,fisher score,13,0.7596153846153846,[ 2  3  4  5  7  8  9 11 12 13 15 18 19],0 menit 0.3 detik
15,fisher score,14,0.7884615384615384,[ 2  3  4  5  7  8  9 10 11 12 13 15 18 19],0 menit 0.3 detik
16,fisher score,15,0.7980769230769231,[ 2  3  4  5  7  8  9 10 11 12 13 15 16 18 19],0 menit 0.3 detik
17,fisher score,16,0.7884615384615384,[ 1  2  3  4  5  7  8  9 10 11 12 13 15 16 18 19],0 menit 0.3 detik
18,fisher score,17,0.8076923076923077,[ 1  2  3  4  5  7  8  9 10 11 12 13 14 15 16 18 19],0 menit 0.4 detik
19,fisher score,18,0.7884615384615384,[ 1  2  3  4  5  7  8  9 10 11 12 13 14 15 16 17 18 19],0 menit 0.5 detik
20,fisher score,19,0.7788461538461539,[ 0  1  2  3  4  5  7  8  9 10 11 12 13 14 15 16 17 18 19],0 menit 0.5 detik
21,RFE,1,0.7115384615384616,[18],0 menit 5.4 detik
22,RFE,2,0.6923076923076923,[ 3 18],0 menit 5.9 detik
23,RFE,3,0.7692307692307693,[ 3 18 19],0 menit 6.2 detik
24,RFE,4,0.7980769230769231,[ 2  3 18 19],0 menit 4.9 detik
25,RFE,5,0.8269230769230769,[ 2  3  9 18 19],0 menit 5.7 detik
26,RFE,6,0.7884615384615384,[ 2  3  5  9 18 19],0 menit 5.4 detik
27,RFE,7,0.7788461538461539,[ 1  2  3  5  9 18 19],0 menit 4.4 detik
28,RFE,8,0.7788461538461539,[ 1  3  5  9 10 15 18 19],0 menit 4.7 detik
29,RFE,9,0.7884615384615384,[ 1  3  5  6  8  9 10 18 19],0 menit 5.2 detik
30,RFE,10,0.7596153846153846,[ 1  2  3  5  6  8  9 15 18 19],0 menit 3.7 detik
31,RFE,11,0.7980769230769231,[ 1  2  3  5  6  8  9 10 15 18 19],0 menit 3.4 detik
32,RFE,12,0.8269230769230769,[ 1  2  3  5  6  8  9 10 13 15 18 19],0 menit 3.6 detik
33,RFE,13,0.8076923076923077,[ 1  3  5  6  8  9 10 11 13 15 16 18 19],0 menit 4.1 detik
34,RFE,14,0.8076923076923077,[ 0  1  2  3  5  6  8  9 10 13 15 16 18 19],0 menit 2.7 detik
35,RFE,15,0.8269230769230769,[ 0  1  2  3  5  6  8  9 10 11 13 15 16 18 19],0 menit 2.2 detik
36,RFE,16,0.8269230769230769,[ 0  1  2  3  5  6  8  9 10 11 13 14 15 16 18 19],0 menit 1.9 detik
37,RFE,17,0.8173076923076923,[ 0  1  2  3  5  6  7  8  9 10 11 13 14 15 16 18 19],0 menit 1.5 detik
38,RFE,18,0.8076923076923077,[ 0  1  2  3  4  5  6  7  8  9 10 11 13 14 15 16 18 19],0 menit 1.2 detik
39,RFE,19,0.8173076923076923,[ 0  1  2  3  4  5  6  7  8  9 10 11 13 14 15 16 17 18 19],0 menit 0.8 detik
